Type,Name,Address,District,,Type,District
MRT Station, Admiralty MRT Station,"70 Woodlands Avenue, S(738344)",North West,,,
MRT Station, Canberra MRT Station (NS12),"11, Canberra Link, S(756922)",North West,,,
MRT Station, Cashew MRT Station (DT2),"1 Cashew Road, S(679696)",North West,,,
MRT Station, Dover MRT Station (EW22),"200 Commonwealth Avenue West, S(138677)",North West,,,
MRT Station, Hillview MRT Station (DT3),"510 Upper Bukit Timah Road, S(678211)",North West,,,
MRT Station, King Albert MRT Station (DT6),"2 Blackmore Drive, S(599987)",North West,,,
MRT Station, Kranji MRT Station,"960 Woodlands Road, S(738702)",North West,,,
MRT Station, Marsiling MRT Station,"71 Woodlands Avenue 3, S(739044)",North West,,,
MRT Station, Sembawang MRT Station (NS11),"11 Canberra Road, S(759775)",North West,,,
MRT Station, Sixth Avenue MRT Station (DT7),"777 Bukit Timah Road, S(269784)",North West,,,
MRT Station, Springleaf MRT Station (TE4),"825 Upper Thomson Road, S(787140)",North West,,,
MRT Station, Tan Kah Kee MRT Station (DT8),"651 Bukit Timah Road, S(266268)",North West,,,
MRT Station, Woodlands MRT Station,"30 Woodlands Avenue, S(738343)",North West,,,
MRT Station, Woodlands North Station (TEL1),"20 Woodlands North Coast Road, S(737668)",North West,,,
MRT Station, Woodlands South Station (TEL3),"30 Woodlands Drive 17, S(737741)",North West,,,
MRT Station, Woodlands Station (TEL2),"11 Woodlands Square, S(737736)",North West,,,
MRT Station, Yew Tee MRT Station,"61 Choa Chu Kang Drive, S(689715)",North West,,,
MRT Station, Yishun MRT Station (NS13),"301 Yishun Avenue 2, S(769093)",North West,,,
Shopping Centre, 888 Plaza,"Blk 888, Woodlands Drive 50, S(731888)",North West,,,
Shopping Centre, Admiralty Place,"Blk 678 Woodlands Avenue 6, S(730678)",North West,,,
Shopping Centre, Fajar Shopping Centre,"445 Fajar Road, Level 1 & 2, S(670445)",North West,,,
Shopping Centre, Sembawang Mart,"Blk 511 Canberra Road, S(750511)",North West,,,
Shopping Centre, Vista Point,"Blk 548 Woodlands Drive 44, S(730548)",North West,,,
Shopping Centre,Woodlands Mart,"Blk 768 Woodlands Street 61, S(730768)",North West,,,
Bus Interchange, Bedok Bus Interchange,"12 BedokNorth Drive, S(465492)",South East,,,
Bus Interchange, Changi Business Park Bus Terminal,"55 Changi South Avenue 1, S(485997)",South East,,,
Bus Interchange, Eunos Bus Interchange,"409 Eunos Road 2, S(409388)",South East,,,
Bus Interchange, Serangoon Bus Interchange,"20 Serangoon Avenue 2, S(556138)",South East,,,
Bus Interchange, Upper East Coast Bus Terminal,"740 Upper East Coast Road, S(465549)",South East,,,
Coffeeshop, Kopitiam @ 248 Simei Street 3,"238 Simei Street 3, #01-136, S(520248)",South East,,,
Foodcourt, Kopitiam Corner,"152A Bedok South Road, S(461152)",South East,,,
Government Office, Heartbeat@Bedok,"11 Bedok North Stree 1, S(469662)",South East,,,
Market & Food Centre, Bedok Food Centre,"1 Bedok Road, S(469572)",South East,,,
Market & Food Centre, Bedok Interchange Hawker Centre,"208B, New Upper Changi Road, S(462208)",South East,,,
Market & Food Centre, Blk 16 Bedok South Road Market & Food Centre,"Blk 16, Bedok South Road, S(460016)",South East,,,
Market & Food Centre, Changi Village Hawker Centre,"2 Changi Village Road, S(500002)",South East,,,
Market & Food Centre, Dunman Food Centre,"271 Onan Road, S(424768)",South East,,,
Market & Food Centre, East Coast Lagoon Food Village,"1220 East Coast Parkway, S(468960)",South East,,,
Market & Food Centre, Geylang Serai Market,"1 Geylang Serai, S(402001)",South East,,,
MRT Station, Aljunied MRT Station (EW9),"81 Lorong 25 Geylang, S(388310)",South East,,,
MRT Station, Bartley MRT Station,"212 Upper Paya Lebar, S(534881)",South East,,,
MRT Station, Bedok MRT Station,"315 New Upper Changi Road, S(467347)",South East,,,
MRT Station, Bedok North MRT Station (DT29),"315 Upper Changi Road, S(467347)",South East,,,
MRT Station, Dakota MRT Station,"201 Airport Road, S(397973)",South East,,,
MRT Station, Expo MRT Station,"21 Upper Changi South Avenue 1, S(486065)",South East,,,
MRT Station, Lorong Chuan MRT Station,"150 Serangoon Avenue 3, S(554533)",South East,,,
MRT Station, Macpherson MRT Station (DT26),"10 Circuit Link, S(378956)",South East,,,
MRT Station, Macpherson MRT Station CC10,"171 Paya Lebar Rd, S(409048)",South East,,,
MRT Station, Mattar MRT Station (DT25),"60 Merpati Road, S(379314)",South East,,,
MRT Station, Mountbatten MRT Station,"301 Mountbatten Road, S(398006)",South East,,,
MRT Station, Paya Lebar MRT Station,"30 Paya Lebar Road, S(409006)",South East,,,
MRT Station, Paya Lebar MRT Station CC09,"30 Paya Lebar Road, S(409006)",South East,,,
MRT Station, Serangoon MRT Station (NE12),"600 Upper Serangoon Rd., S(534801)",South East,,,
MRT Station, Serangoon MRT Station CC13,"600 Upper Serangoon Rd, S(534801)",South East,,,
MRT Station, Simei MRT Station,"30 Simei Street 3, S(529888)",South East,,,
MRT Station, Stadium MRT Station,"3 Stadium Walk, S(397692)",South East,,,
MRT Station, Tai Seng MRT Station CC11,"33 Upper Paya Lebar Rd, S(534803)",South East,,,
MRT Station, Ubi MRT Station (DT27),"51 Ubi Avenue 2, S(408899)",South East,,,
MRT Station, Upper Changi MRT Station,"690 Upper Changi Road East, S(485990)",South East,,,
Private Office, Changi Business Park 15,"15 Changi Business Park Central 1, S(486057)",South East,,,
Private Office, Changi Business Park 7,"7 Changi Business Park Central 1, S(486072)",South East,,,
Private Office, Changi Business Park 9,"9 Changi Business Park Central 1, S(486048)",South East,,,
Private Office, Kah Engineering (1988) Pte Ltd,"96B Jalan Senang, S(418482)",South East,,,
Shopping Centre, Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",South East,,,
Shopping Centre, PLQ Mall,"10 Paya Lebar Road, S(409057)",South East,,,
Bus Interchange, Boon Lay Bus Interchange,"87 Jurong West Central 3, S(648343)",South West,,,
Bus Interchange, Bukit  Batok Bus Interchange,"631 Bukit Batok Central, S(650631)",South West,,,
Bus Interchange, Choa Chu Kang Bus Interchange ,"301 Choa Chu Kang Central Avenue 3, S(689811)",South West,,,
Bus Interchange, Clementi Bus Interchange,"441 Commonwealth Avenue West, S(120441)",South West,,,
Bus Interchange, Joo Koon Bus Interchange,"55 Benoi Road, S(629907)",South West,,,
Bus Interchange, Jurong East Bus Interchange,"17A Jurong Gateway Road, S(608513)",South West,,,
Bus Interchange, Tuas Bus Terminal,"1 Tuas West Drive, S(638410)",South West,,,
Coffeeshop, Kopitiam @ 450 Clementi Avenue 3,"450 Clementi Avenue 3, #01-271, S(120450)",South West,,,
Coffeeshop, NTUC Foodfare Choa Chu Kang,"Blk 303, Choa Chu Kang Avenue 4, #01-723, S(680303)",South West,,,
Dormitory,Aspri-Westlite Construction Site,"5 Jalan Papan Road, S(619396)",South West,,,
Dormitory, Unison Construction Dormitory,"6 Tuas Basin Link, S(638760)",South West,,,
Foodcourt, Kopitiam,"1 Lower Kent Ridge Road, #05-01 One@Kent Ridge, S (119082)",South West,,,
Foodcourt, Kopitiam,"5 Lower Kent Ridge Rd, #01-01, S(119074)",South West,,,
Industrial Complex, CleanTech One,"CleanTech One, 1 Clean Tech Loop, S(637141)",South West,,,
Industrial Complex, CleanTech Two,"3 Cleantech Loop, S(637143)",South West,,,
Industrial Complex, JTC Surface Engineering Hub,"8 Buroh Street, S(627563)",South West,,,
